col_name,data_type
VACC_EVENT_ID,string
IRMS_SYS_ID,double
ASIIS_FAC_ID,double
Asiis_Vacc_Code,double
ASIIS_PAT_ID,double
PAT_FIRST_NAME,string
PAT_MIDDLE_NAME,string
PAT_LAST_NAME,string
PAT_BIRTH_DATE,date
PAT_GENDER,string
PAT_ADDRESS_STREET1,string
PAT_ADDRESS_STREET2,string
PAT_ADDRESS_CITY,string
PAT_COUNTY_CODE,string
PAT_ADDRESS_STATE,string
PAT_ADDRESS_ZIP,string
ATO_PAT_ADDRESS_STREET1,string
ATO_PAT_ADDRESS_STREET2,string
ATO_PAT_ADDRESS_CITY,string
ATO_PAT_COUNTY_CODE,string
ATO_PAT_ADDRESS_STATE,string
ATO_PAT_ADDRESS_ZIP,string
PAT_ETHNICITY_CODE,string
VACC_DATE,date
BEST_CDC_CODE,double
NDC_CODE,string
MANU_CODE,string
LOT_NUM,string
EXPIRATION_DATE,date
DOSE_NUMBER,string
SERIES_COMPLETE,string
FAMILY_CODE,int
ORG_NAME,string
FAC_NAME,string
VFC_PIN,string
PROVIDER_FACILITY_TYPE,string
FAC_ADDRESS_STREET1,string
FAC_ADDRESS_STREET2,string
FAC_ADDRESS_CITY,string
FAC_ADDRESS_COUNTY_CODE,bigint
FAC_ADDRESS_STATE,string
FAC_ADDRESS_ZIP,string
HISTORICAL,string
INSERT_STAMP,timestamp
REGISTRY_ENTRY_STAMP,date
REPORTING_METHOD,string
VFC_ELIGIBLE,double
PAT_RACE1,int
PAT_RACE2,int
PAT_RACE3,int
PAT_RACE4,int
PAT_RACE5,int
PAT_RACE6,int
PAT_LANGUAGE,string
PAT_ADDRESS_PHONE,string
PAT_ADDRESS_EMAIL,string
